2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027999999999999997, INDENTER_X=0.0
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027999999999999997, INDENTER_X=0.034
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027999999999999997, INDENTER_X=0.032
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027999999999999997, INDENTER_X=0.036
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027999999999999997, INDENTER_X=0.038
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027999999999999997, INDENTER_X=0.04
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027999999999999997, INDENTER_X=0.042
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027999999999999997, INDENTER_X=0.046
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027999999999999997, INDENTER_X=0.044
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027999999999999997, INDENTER_X=0.05
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027999999999999997, INDENTER_X=0.048
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.0
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.002
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.004
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.006
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.008
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.01
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.012
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.014
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.016
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.018
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.02
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.022
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.024
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.026
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.028
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.03
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.032
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.034
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.036
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.038
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.042
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.04
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.044
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.046
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.048
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.027, INDENTER_X=0.05
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.0
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.002
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.006
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.008
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.004
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.012
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.01
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.014
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.016
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.018
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.02
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.022
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.024
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.026
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.028
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.032
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.034
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.036
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.038
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.04
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.042
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.044
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.046
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.048
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.026, INDENTER_X=0.05
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.0
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.002
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.004
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.006
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.012
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.01
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.008
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.014
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.016
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.018
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.02
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.022
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.024
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.026
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.028
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.032
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.034
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.03
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.036
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.038
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.04
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.042
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.044
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.046
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.048
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024999999999999998, INDENTER_X=0.05
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.0
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.002
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.004
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.006
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.008
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.01
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.012
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.014
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.016
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.02
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.018
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.022
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.024
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.026
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.028
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.032
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.034
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.036
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.03
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.04
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.038
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.044
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.042
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.046
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.048
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.024, INDENTER_X=0.05
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.002
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.004
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.006
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.008
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.01
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.012
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.014
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.016
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.018
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.02
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.022
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.024
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.026
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.028
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.03
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.034
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.032
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.038
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.036
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.04
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.042
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.044
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.046
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.048
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.023, INDENTER_X=0.05
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.0
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.002
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.004
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.006
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.008
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.01
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.012
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.014
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.016
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.018
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.02
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.022
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.024
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.026
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.028
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.03
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.032
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.034
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.036
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.038
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.04
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.042
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.044
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.046
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.048
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.022, INDENTER_X=0.05
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.0
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.002
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.004
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.006
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.008
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.01
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.012
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.014
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.016
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.018
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.02
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.022
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.024
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.03
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.028
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.032
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.026
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.034
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.036
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.038
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.04
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.042
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.046
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.05
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.019999999999999997, INDENTER_X=0.0
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.048
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.020999999999999998, INDENTER_X=0.044
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.019999999999999997, INDENTER_X=0.002
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.019999999999999997, INDENTER_X=0.004
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.019999999999999997, INDENTER_X=0.006
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.019999999999999997, INDENTER_X=0.008
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.019999999999999997, INDENTER_X=0.01
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.019999999999999997, INDENTER_X=0.014
2025-12-24 22:03:41 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.019999999999999997, INDENTER_X=0.012
